Account Name,Created Date,Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company State (CB),Company Industry (CB)
A1 Company,11/11/2021,Cloud A,Web - Organic Traffic,T Seller,Closed Lost,2/2/2021,New Business,0,Chile,Región Metropolitana,Diversified Telecommunication Services
B1 Company,11/11/2021,Cloud A,Web - Organic Traffic,D Seller,Closed Lost,9/30/2020,New Business,75000,United States,Tennessee,Gas Utilities
B1 Company,11/11/2021,Cloud A,,T Seller,Closed Lost,7/16/2021,New Business,75000,United States,Florida,"Hotels, Restaurants & Leisure"
D1 Company,11/11/2021,Cloud A,,M Seller,2 - Value Qualification,6/30/2022,New Business,100000,United States,Indiana,Automotive
E1 Company,11/11/2021,Cloud A,Web - Organic Traffic,S Seller,Closed Lost,6/30/2020,New Business,150000,,,
E1 Company,11/12/2021,Cloud A,Web - Organic Traffic,T Seller,Closed Lost,6/3/2021,New Business,0,United States,California,Internet Software & Services
P1 Company,11/12/2021,Cloud A,Web - Organic Traffic,T Seller,Closed Lost,9/16/2020,New Business,60000,United States,California,Food Products
R1 Company,11/11/2021,Cloud A,Partner Referral,N Seller,Closed Won,11/22/2021,New Business,89250,United States,New Jersey,Health Care Providers & Services
A1 Company,11/11/2021,Cloud A,Web - Organic Traffic,T Seller,Requalify,3/31/2022,New Business,0,United States,Arkansas,Internet Software & Services
T1 Company,11/11/2021,Cloud A,,A Seller,Closed Won,6/30/2020,Upsell,52500,India,Maharashtra,Consumer Staples
R1 Company,1/25/2022,Cloud A,,N Seller,5 - Contractual Process,11/22/2022,Renewal (Flat or Partial Churn),89250,United States,New Jersey,Health Care Providers & Services
T1 Company,1/25/2022,Cloud A,,A Seller,6 - Deal Room (<1 Day in Office of the CFO),3/5/2022,Renewal (Flat or Partial Churn),39900,India,Maharashtra,Consumer Staples
C1 Company,11/12/2021,Cloud A,,D Seller,Closed Lost,9/20/2018,New Business,0,United States,North Carolina,Food Products
M1 Company,11/11/2021,Cloud A,Web - Organic Traffic,T Seller,Requalify,4/7/2021,New Business,0,Israel,Tel Aviv District,Professional Services
A1 Company,11/11/2021,Cloud A,Partner Referral,N Seller,4 - Proposal Submitted,7/4/2022,Renewal (Flat or Partial Churn),47600,Belgium,Brussels Hoofdstedelijk Gewest,Professional Services
F1 Company,11/11/2021,Cloud A,Web - Organic Traffic,S Seller,Closed Lost,11/11/2021,New Business,0,United States,New York,Professional Services
A1 Company,11/11/2021,Cloud A,Partner Referral,L Seller,6 - Deal Room (<1 Day in Office of the CFO),2/21/2022,New Business,94000,United States,New York,Internet Software & Services
G1 Company,11/11/2021,Cloud A,Web - Organic Traffic,T Seller,Closed Lost,10/17/2020,New Business,0,United States,California,Internet Software & Services
M1 Company,11/11/2021,Cloud A,,N Seller,4 - Proposal Submitted,12/31/2022,Renewal (Flat or Partial Churn),37450,United States,Massachusetts,Internet Software & Services
C1 Company,11/11/2021,Cloud A,Web - Organic Traffic,N Seller,3 - Technical Validation,4/29/2022,New Business,75000,Japan,Tokyo,Household Durables
N1 Company,11/11/2021,Cloud A,Web - Organic Traffic,M Seller,Closed Lost,3/16/2022,New Business,200000,United States,Illinois,Diversified Financial Services
E1 Company,11/11/2021,Cloud A,Web - Organic Traffic,T Seller,3 - Technical Validation,12/30/2022,New Business,100000,,,
C1 Company,1/26/2022,Cloud A,,T Seller,5 - Contractual Process,11/23/2022,Renewal (Flat or Partial Churn),170000,United States,Maryland,Internet Software & Services
A1 Company,11/11/2021,Cloud A,Web - Organic Traffic,S Seller,Closed Lost,7/30/2021,New Business,0,Canada,Ontario,Internet Software & Services
T1 Company,11/11/2021,Cloud A,,S Seller,Closed Lost,6/1/2019,New Business,48000,Sweden,Västra Götalands län,Diversified Telecommunication Services
H1 Company,11/11/2021,Cloud A,,S Seller,Closed Lost,9/26/2018,New Business,0,United States,California,Internet Software & Services
D1 Company,11/11/2021,Cloud A,,D Seller,Closed Lost,10/23/2020,New Business,100000,Germany,Nordrhein-Westfalen,Air Freight & Logistics
N1 Company,11/11/2021,Cloud A,Partner Referral,D Seller,Closed Won,4/27/2021,Renewal (Flat or Partial Churn),60000,United States,Texas,Internet Software & Services
F1 Company,11/11/2021,Cloud A,Web - Organic Traffic,T Seller,Closed Lost,3/31/2020,New Business,60000,United States,Massachusetts,Biotechnology
C1 Company,11/11/2021,Cloud A,Web - Organic Traffic,S Seller,Closed Lost,4/30/2019,New Business,48000,United Kingdom,Greater London,Internet Software & Services
E1 Company,11/11/2021,Cloud A,Web - Organic Traffic,S Seller,Closed Lost,8/28/2020,New Business,45000,United States,California,Media
O1 Company,11/11/2021,Cloud A,Web - Organic Traffic,A Seller,3 - Technical Validation,8/25/2022,New Business,100000,Australia,New South Wales,Diversified Telecommunication Services
C1 Company,11/11/2021,Cloud A,,S Seller,Closed Lost,6/26/2020,New Business,100000,United States,Connecticut,Professional Services
A1 Company,11/11/2021,Cloud A,Partner Referral,T Seller,Closed Lost,7/22/2021,New Business,70000,United States,Illinois,Pharmaceuticals
D1 Company,11/11/2021,Cloud A,,S Seller,Closed Lost,9/11/2020,New Business,90000,Germany,Hessen,Diversified Financial Services
E1 Company,11/11/2021,Cloud A,Web - Organic Traffic,S Seller,Closed Lost,2/28/2020,New Business,250000,Germany,Nordrhein-Westfalen,Electrical Equipment
V1 Company,11/11/2021,Cloud A,,S Seller,Closed Lost,8/30/2019,New Business,0,United Kingdom,West Sussex,Airlines
N1 Company,11/11/2021,Cloud A,,D Seller,Closed Lost,2/14/2020,New Business,120000,United States,Georgia,Metals & Mining
