Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company Industry (CB)
,Web,Dave,Lost,1/6/2021,New,1000,France,Aerospace & Defense
,,Dave,Lost,12/28/2018,New,1000,United States,Aerospace & Defense
,Web,Dave,Lost,4/8/2021,New,1000,United States,Aerospace & Defense
,,Sammy,Lost,6/30/2016,Upsell,1000,France,Aerospace & Defense
Cloud C,Web,Steve,Lost,12/10/2021,New,1000,France,Aerospace & Defense
,,Susans,Lost,9/21/2017,Upsell,1000,United States,Aerospace & Defense
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Aerospace & Defense
,,Susans,Lost,2/26/2016,Upsell,1000,United States,Aerospace & Defense
On-Premise,,Tom,Lost,9/27/2018,New,1000,United States,Aerospace & Defense
Cloud A,,Dave,Lost,7/31/2020,New,50000,United States,Aerospace & Defense
Cloud B,Partner,Steve,Lost,9/9/2020,New,50000,Canada,Aerospace & Defense
On-Premise,,Paul,Won,6/30/2021,Renewal,50000,United States,Aerospace & Defense
On-Premise,,Sammy,Won,9/29/2018,Renewal,50000,United States,Aerospace & Defense
On-Premise,,Susans,Won,9/29/2017,Renewal,50000,United States,Aerospace & Defense
On-Premise,,Dave,Won,3/12/2021,Renewal,50000,United States,Aerospace & Defense
On-Premise,,Dave,Won,4/13/2020,Renewal,50000,United States,Aerospace & Defense
On-Premise,,Paul,Proposal,4/23/2022,Renewal,50000,United States,Aerospace & Defense
On-Premise,,Susans,Won,2/6/2019,Upsell,75000,United States,Aerospace & Defense
On-Premise,,Dave,Lost,9/30/2020,Upsell,75000,United States,Aerospace & Defense
On-Premise,,Susans,Won,8/20/2018,New,100000,United States,Aerospace & Defense
Cloud A,,Steve,Lost,1/31/2020,New,100000,United Kingdom,Aerospace & Defense
On-Premise,,Greg,Proposal,1/31/2024,Renewal,100000,United States,Aerospace & Defense
On-Premise,Web,Greg,Won,2/1/2022,New,150000,United States,Aerospace & Defense
,,Susans,Lost,9/29/2017,Upsell,150000,United States,Aerospace & Defense
On-Premise,,Sammy,Won,9/30/2016,Upsell,200000,United States,Aerospace & Defense
,Web,Dave,Lost,4/6/2021,New,1000,Norway,Air Freight & Logistics
,Web,Dave,Lost,4/1/2022,New,1000,Finland,Air Freight & Logistics
On-Premise,Web,Paul,Won,4/23/2021,New,1000,United States,Air Freight & Logistics
,,Sammy,Lost,12/29/2017,New,1000,Netherlands,Air Freight & Logistics
,,Susans,Lost,3/26/2018,New,1000,United States,Air Freight & Logistics
On-Premise,Partner,Susans,Lost,8/6/2018,New,1000,Germany,Air Freight & Logistics
Cloud B,Partner,Tom,Lost,5/6/2021,New,1000,United Arab Emirates,Air Freight & Logistics
,,Tom,Lost,12/30/2016,Upsell,1000,United States,Air Freight & Logistics
On-Premise,Web,Paul,Won,11/11/2021,Upsell,10000,United States,Air Freight & Logistics
,,Ed,Won,1/5/2022,Upsell,20000,United States,Air Freight & Logistics
Cloud B,Partner,Susans,Won,7/31/2020,New,20000,Germany,Air Freight & Logistics
Cloud A,,Dave,Lost,4/14/2021,Renewal,50000,United States,Air Freight & Logistics
Cloud A,Web,Dave,Won,6/10/2020,New,50000,United States,Air Freight & Logistics
Cloud B,Partner,Susans,Lost,6/30/2020,New,50000,Portugal,Air Freight & Logistics
,Web,Dave,Lost,12/20/2019,New,50000,United States,Air Freight & Logistics
Cloud B,Web,Dave,Lost,9/4/2020,New,75000,Norway,Air Freight & Logistics
,Web,Joe,Meeting,4/29/2022,New,75000,United States,Air Freight & Logistics
,,Larry,Proposal,5/6/2022,Renewal,80000,United States,Air Freight & Logistics
Cloud A,,Dave,Lost,10/23/2020,New,100000,Germany,Air Freight & Logistics
Cloud B,,Paul,Lost,12/31/2019,New,100000,United States,Air Freight & Logistics
On-Premise,Web,Mike,Proposal,4/23/2022,Renewal,100000,United States,Air Freight & Logistics
,,Larry,Validation,7/6/2022,Upsell,100000,United States,Air Freight & Logistics
Cloud C,,Dave,Won,10/28/2020,Upsell,100000,United States,Air Freight & Logistics
Cloud C,Web,Larry,Proposal,3/28/2022,Renewal,100000,United States,Air Freight & Logistics
,Partner,Dave,Lost,12/31/2021,Upsell,100000,United States,Air Freight & Logistics
,Partner,Dave,Lost,9/16/2021,Upsell,100000,United States,Air Freight & Logistics
On-Premise,,Dave,Won,1/7/2021,Upsell,150000,United States,Air Freight & Logistics
On-Premise,,Dave,Won,12/27/2021,Renewal,150000,United States,Air Freight & Logistics
On-Premise,,Larry,Proposal,1/6/2023,Renewal,150000,United States,Air Freight & Logistics
,,Susans,Won,9/30/2016,New,150000,Turkey,Air Freight & Logistics
On-Premise,,Dave,Won,2/18/2021,Renewal,150000,United States,Air Freight & Logistics
On-Premise,,Dave,Won,4/7/2020,New,150000,United States,Air Freight & Logistics
On-Premise,,Larry,Proposal,4/6/2022,Renewal,150000,United States,Air Freight & Logistics
Cloud C,,Dave,Lost,3/31/2021,Upsell,150000,United States,Air Freight & Logistics
Cloud B,,Dave,Won,4/23/2020,Renewal,150000,United States,Air Freight & Logistics
Cloud B,Web,Dave,Won,5/4/2021,Renewal,150000,United States,Air Freight & Logistics
Cloud B,Web,Larry,Proposal,5/5/2022,Renewal,150000,United States,Air Freight & Logistics
On-Premise,Partner,Dave,Lost,7/8/2021,Upsell,150000,United States,Air Freight & Logistics
Cloud B,Event,Susans,Won,4/30/2019,New,150000,United States,Air Freight & Logistics
Cloud B,Partner,Dave,Won,6/24/2021,Renewal,200000,United States,Air Freight & Logistics
Cloud B,Partner,Dave,Won,6/30/2020,New,200000,United States,Air Freight & Logistics
Cloud B,Partner,Ed,Proposal,6/30/2022,Renewal,200000,United States,Air Freight & Logistics
On-Premise,Web,Larry,Validation,11/16/2022,Upsell,200000,United States,Air Freight & Logistics
,Partner,Paul,Meeting,3/31/2022,New,200000,Germany,Air Freight & Logistics
